Coin,Price,24H Volume,Market Cap,Circulating Supply
RIMBIT,0.00025,0,0,0
CHIP,0.0002794385,0.7763015875648714,0,0
SPEC,2.4301e-05,0,0,0
UNC,0.0002153497,8542.337039158796,0,0
SPRTS,1.2149e-05,0,0,0
ZNY,0.001291503,0,0,0
BTQ,0.003229347,0,0,0
PKB,0.18619298,0,0,0
SNRG,0.032557712,0,0,0
GHOUL,0.0002152948,0,0,0
HNC,0.0105474509,0,0,0
DIGS,0.0008610544,0,0,0
EXP,0.0094731076,1324.8579573514285,328720.16796968196,0
GCR,0.0001458096,0,0,0
MAPC,0.0738224151,0,0,0
MI,0.0002152802,0,0,0
PAYCON,0.012915432,0,0,0
TX,0.31693477,66231.06629412505,0,0
GRS,0.3517251994,4544020.796345489,28286223.766563784,0
SC,0.003932,5057451.7364048185,202277898.404544,0
CLEVERCOIN,0.002152856,0,0,0
FCT,0.304588938,512.2035171063993,3158260.106412168,0
LYB,0.01003045,0,0,0
PXI,0.0001336522,0,0,0
CPS,0.03001,0,0,0
AMS,6.32e-05,0,0,0
OBITS,0.0019374849,518.5312304454048,0,0
CLUB,0.00781995,0,0,0
VAL,1.8037984419,1106497.4058527825,8326632.968379673,4616165.96120848
EMC,0.0195864396,0.0195864396,942558.2593926804,0
BLITZ,0.45198216,0,0,0
BHIRE
EVERGREEN,0.022324348,0,0,0
MINDCOIN,0.0135596853,0,0,0
I0C,0.008609324,0,0,0
BTA,0.25843454,0,0,0
DCR,22.196674,1513523.8777302431,314439603.86401683,0
NAS2,0.462751165,0,0,0
PAK,0.002503227162,0,0,0
CRB,0.0144204636,0,0,0
DOGED,0.002152211,0,0,0
REP,8.2160674,7844371.800968606,62256658.17531588,0
OK,0.0038739762,20.25607624459674,0,0
RVR,0.0023674673,0,0,0
HYPERS,0.009470269600000001,5.464345559200001,0,0
HODL,0.00086807,0,0,0
DGD,212.79792,8.72471472,15848047.759815857,0
EDRC,0.0027572782,0,0,0
THEDAO,0.036438012146,0,0,0
LSK,1.1022279,5212876.240033108,159623292.0443667,0
WAVES,5.369,118005186.35765626,583808448.314,0
HTC,0.000215213,0,0,0
GAMECRED,0.016698303,0,3339660.6,0
DSH,446.1310529,0,0,0
DBIC,0.027332051,0,0,0
XHI,2.985e-05,0,0,0
BIOS,0.00022145,0,0,0
CAB,0.0002672076,0,0,0
CARPE,1.5898863e-05,0,0,0
GBT,0.00044021,1.0009216566686519e-16,0,0
RCX,3.15e-06,0,0,0
PWR,2.152531e-05,0,0,0
TRUMP,0.01600059,11856.199149604347,0,0
PRM,0.00124508,11.092530957324188,0,0
BCY,0.095779753,0,0,0
RBIES,0.01032617,1475.3726665890633,0,0
STEEM,0.22834005,10226099.716976987,93120036.43588299,0
BLRY,0.00072003,0,0,0
XWC,0.06297588600000001,237603.94963576252,60570059.16146792,0
DOTC,0.005495970126,0,0,0
SCOT,0.004951302,0,0,0
CREED,0.00014784,0.1470366052315776,0,0
POSTC,0.00127929,0,0,0
INFX,0.0035854595,0,0,0
ETHS,0.001,0,0,0
PHALA,0.05743639,0,0,0
NUMBERS,5.81e-06,0,0,0
GOST,0.2318598987,0,0,0
ION,0.0161462325,0,0,0
GROW,0.05499999,0,0,0
UNITY,71.04183900000001,0,0,0
OLDSF,0.001291665,0,0,0
SSTC,0.0002152783,0.009687523500000001,0,0
NETC,0.1020852,3.3114013774614355,0,0
GPU,0.00010564,0,0,0
TAGR,0.0001336236,0,0,0
HMP,0.0002152534,0,0,0
ADZ,0.0005223554,0,0,0
GAPC,0.003304936,0,0,0
MYC,4.9531926268,0,0,0
IVZ,0.09019513,0.35248189157652504,0,0
VTA,1.21478e-05,0,0,0
