Time,Volume (in USD),Volume (in INR),Volume (in EUR)
1654999200,3181333805.4,283568122885.15,3026391169.74
1655002800,1441441752.63,129313112526.53,1372273012.56
1655006400,1014547097.45,83538334291.13,966031702.91
1655010000,1788081314.72,156458231914.99,1701685668.23
1655013600,1247969696.79,102769893239.12,1188542676.56
1655017200,912282476.29,79629595123.18,868615048.17
1655020800,1177027969.9,101714439945.26,1121218794.78
1655024400,793647104.51,69685559700,756356077.22
1655028000,999592956.34,85787278712.1,952071271.99
1655031600,1009039103.98,86544543018.93,960944538.37
1655035200,733640244.02,74182730369.13,698716323.31
1655038800,1144556500.54,97521329169,1089936964.12
1655042400,3025821607.83,283131710586.14,2881788122.35
1655046000,2201414403.59,182859369104.16,2096427502.4
1655049600,1178978418.46,103540341673.61,1122426356.34
1655053200,1072896847.21,90421462153.79,1021361657.49
1655056800,906322616.49,76093499321.18,862710628.37
1655060400,1330082378.58,109366028188.55,1265325495.1
1655064000,843741291.91,65606570713.33,802699114.51
1655067600,640382276.09,49800408278.02,609253406.38
1655071200,1568084923.3,141149621525.25,1492778210.69
1655074800,1611629442.54,144035718605.27,1535349158.62
1655078400,2919707431.59,234468583709.03,2784768456.06
1655082000,3459290109.73,317685816183.19,3302549659.37
1655085600,2557906943.76,242911122216.23,2440821218.25
1655089200,3710239495.18,329567018168.92,3537710688.54
1655092800,2536895770.83,211437389924.35,2421296296.84
1655096400,1989930077.8,173892397781.31,1897502386.19
1655100000,2531716035.53,208811538803.38,2417760026.14
1655103600,3122632265.98,274764271377.77,2981050552.12
1655107200,4341316802.2,382175912025.18,4146980621.2
1655110800,4690210482.93,423161143862.1,4483276732.93
1655114400,2966342455.55,259545768994.76,2834476830.32
1655118000,2907154368.52,242484978320,2781757974.24
1655121600,2902982301.36,253331669589.46,2774030232.66
1655125200,3381013416.1,295806036134.41,3238537296.03
1655128800,3585086121.03,325298070707.38,3442475465.97
1655132400,3161407420.05,273652246755.49,3032668644.83
1655136000,3163876819.22,275507287993.13,3028482836.12
1655139600,1624155705.38,149748005781.57,1554517007.54
1655143200,1279993357.03,107396886800,1228386413.2
1655146800,1323723893.65,117075722906.48,1272148142.22
1655150400,1448686121.25,125162764584.69,1392688456.71
1655154000,1030638649.74,93514332161.53,990035059.11
1655157600,1270973826.7,117718852393.53,1221986749.01
1655161200,2344416715.67,218127140094.17,2251856887.45
1655164800,2160226945.51,202547967821.79,2074236265.08
1655168400,3527722222.66,367856597457.39,3393750449.55
1655172000,3561693861.43,335910916409.27,3418415601.25
1655175600,2654933639.37,240326820000,2547415025
1655179200,2244381149.03,202332169209.14,2149973185.49
1655182800,3318234122.22,272487466450.31,3179841792.75
1655186400,2256448876.98,185775071881.28,2160993444.78
1655190000,2417615369.54,196612747746.69,2311320697.86
1655193600,1669108305.77,143098287424.71,1594742068.52
